intentos,numero_correcto
9,62
3,20
6,99
3,77
4,16
8,60
11,51
10,47
6,47
5,81
6,58
3,96
8,97
7,69
4,83
5,56
5,100
6,1
6,20
6,94
8,4
4,4
7,20
7,26
8,50
8,39
11,31
4,46
6,17
5,89
3,71
8,42
4,42
9,25
8,36
3,6
3,23
6,84
8,2
10,47
5,96
7,88
7,6
9,74
11,15
5,42
9,32
4,91
7,52
5,90
8,72
4,96
7,30
2,32
4,6
7,88
7,92
7,67
8,23
4,58
6,57
1,5
13,24
11,90
1,17
7,66
7,6
9,32
6,80
6,66
7,63
4,45
12,14
11,57
12,48
10,50
6,21
9,36
9,96
10,95
5,83
11,18
7,3
9,75
6,27
5,76
6,89
7,100
2,57
2,83
8,51
8,28
7,63
9,69
11,3
13,83
3,88
6,37
10,89
8,81
12,40
4,84
14,59
10,47
8,99
4,50
9,11
4,74
6,5
8,59
4,65
2,13
8,53
6,32
9,37
8,60
7,69
5,100
5,85
9,79
11,31
5,62
9,21
11,46
3,85
10,80
6,100
2,63
9,45
8,44
9,60
8,48
12,55
8,77
10,79
10,16
8,26
9,58
4,20
14,77
6,93
7,38
7,48
8,70
10,16
4,6
5,84
9,53
9,7
8,32
10,86
4,37
4,96
8,100
8,53
6,50
5,36
10,63
8,25
7,9
5,1
8,73
7,54
16,60
10,75
3,68
2,14
7,100
9,20
7,88
8,11
9,90
5,81
9,93
4,41
8,50
8,47
1,30
5,100
9,26
6,34
7,82
4,88
9,69
5,30
4,98
14,41
10,28
9,43
9,28
8,23
3,94
5,98
5,43
5,26
9,49
7,29
9,41
9,67
8,20
4,5
